student_id,age_father,age_mother,edubg_father,edubg_mother,affiliation_father,affiliation_mother,family_income,is_only_child,live_on_campus,gathering_frequency_father,gathering_frequency_mother,family_traveling_times
fb83ce6666d23b7d174e806d3206373d,42,39,Postgraduate,Undergraduate (full-time),Public Sector,Public Sector,250000-300000,Yes,No,once every day,once every day,3,
dfe365f5bf6a0786bf70bec4c960fc64,39,38,Undergraduate (full-time),Undergraduate (full-time),Collective Enterprise,Collective Enterprise,150000-200000,Yes,No,once every six months,once every six months,5,
aa4c5074aca9bdebb49f796083fb7757,40,40,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Unknown,Others,0-100000,No,No,once every day,once every day,3,
139500f93fff9334c2d6fe275d0d36dc,44,42,Primary School,Primary School,Unknown,Unknown,0-100000,Yes,No,once every day,once every day,6,
56723f03c31577c17cc4c2eaf0ba95f9,38,40,Higher National Diploma (full-time),Secondary School (Academic Route (Senior)),Collective Enterprise,Private Enterprise,150000-200000,No,No,once every year,once every day,11,
fe1a3b7dbc2efc8927acd859e3fe7fd5,38,40,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Public Sector,Private Enterprise,100000-150000,No,No,once every day,once every day,3,
32ffb43e2aad4a54b35c785ee7921fb2,40,37,Secondary School (Academic Route (Senior)),Secondary School (Vocatioinal Route),Unknown,Private Enterprise,0-100000,Yes,No,once every day,once every day,3,
342ea9e74a1f1403b8fbfd72f59c0de9,34,34,Secondary School (Academic Route (Junior)),Secondary School (Academic Route (Junior)),Others,Unknown,0-100000,Yes,Yes,once every day,once every day,2,
af1068e8ff0823da85fbaaa42d220951,46,45,Secondary School (Academic Route (Junior)),Secondary School (Vocatioinal Route),Public Sector,Private Enterprise,0-100000,No,No,once every day,once every day,2,
76f511efe8f4e1787aa5a538d2fd4846,35,34,Secondary School (Academic Route (Senior)),Secondary School (Vocatioinal Route),Collective Enterprise,Collective Enterprise,0-100000,No,No,once every day,once every day,9,
8bc6cd6357c4a34c23ff48b801399eff,42,38,Primary School,Secondary School (Academic Route (Junior)),Unknown,Unknown,0-100000,No,Yes,once every week,once every week,0,
